Frame	Emotion
1	sad
2	sad
3	neutral
4	neutral
5	neutral
6	neutral
7	neutral
8	fear
9	angry
10	sad
11	angry
12	neutral
13	sad
14	neutral
15	angry
16	neutral
17	sad
18	sad
19	sad
20	sad
21	sad
22	angry
23	angry
24	fear
25	sad
26	sad
27	angry
28	angry
29	sad
30	angry
31	sad
32	neutral
33	neutral
34	neutral
35	neutral
36	sad
37	neutral
38	neutral
39	neutral
40	neutral
41	neutral
42	neutral
43	neutral
44	neutral
45	neutral
46	neutral
47	neutral
48	neutral
49	neutral
50	neutral
51	neutral
52	neutral
53	neutral
54	neutral
55	neutral
56	neutral
57	sad
58	neutral
59	neutral
60	fear
61	sad
62	neutral
63	neutral
64	neutral
65	neutral
66	neutral
67	neutral
68	sad
69	neutral
70	neutral
71	neutral
72	neutral
73	sad
74	neutral
75	angry
76	neutral
77	angry
78	sad
79	sad
80	angry
81	sad
82	angry
83	angry
84	neutral
85	neutral
86	neutral
87	neutral
88	neutral
89	neutral
90	sad
91	neutral
92	angry
93	neutral
94	neutral
95	neutral
96	sad
97	neutral
98	neutral
99	neutral
100	fear
101	sad
102	sad
103	neutral
104	sad
105	neutral
106	sad
107	sad
108	neutral
109	sad
110	neutral
111	angry
112	angry
113	neutral
114	neutral
115	sad
116	sad
117	neutral
118	neutral
119	neutral
120	surprise
121	sad
122	fear
123	fear
124	happy
125	happy
126	neutral
127	neutral
128	neutral
129	neutral
130	neutral
131	neutral
132	neutral
133	sad
134	sad
135	sad
136	neutral
137	neutral
138	neutral
139	neutral
140	fear
141	sad
142	sad
143	neutral
144	sad
145	neutral
146	sad
147	sad
148	sad
149	sad
150	sad
151	sad
152	sad
153	fear
154	neutral
155	neutral
156	neutral
157	sad
158	fear
159	fear
160	fear
161	neutral
162	neutral
163	neutral
164	neutral
165	neutral
166	neutral
167	neutral
168	neutral
169	neutral
170	neutral
171	sad
172	neutral
173	sad
174	neutral
175	neutral
176	sad
177	neutral
178	fear
179	angry
180	neutral
181	sad
182	sad
183	sad
184	neutral
185	neutral
186	neutral
187	sad
188	neutral
189	sad
190	neutral
191	sad
192	neutral
193	neutral
194	sad
195	neutral
196	sad
197	neutral
198	neutral
199	neutral
200	neutral
201	neutral
202	sad
203	neutral
204	neutral
205	neutral
206	neutral
207	neutral
208	sad
209	neutral
210	neutral
211	sad
212	sad
213	sad
214	sad
215	neutral
216	sad
217	sad
218	sad
219	fear
220	sad
221	sad
222	sad
223	neutral
224	angry
225	neutral
226	sad
227	sad
228	sad
229	happy
230	neutral
231	neutral
232	sad
233	neutral
234	sad
235	happy
236	neutral
237	happy
238	sad
239	angry
240	sad
241	angry
242	sad
243	angry
244	sad
245	angry
246	sad
247	angry
248	angry
249	angry
250	sad
251	angry
252	sad
253	angry
254	neutral
255	angry
256	neutral
257	angry
258	sad
259	angry
260	sad
261	angry
262	sad
263	angry
264	neutral
265	sad
266	neutral
267	angry
268	sad
269	sad
270	neutral
271	neutral
272	neutral
273	sad
274	sad
275	neutral
276	neutral
277	sad
278	sad
279	neutral
280	sad
281	neutral
282	neutral
283	neutral
284	sad
285	sad
286	sad
287	fear
288	angry
289	sad
290	angry
291	sad
292	sad
293	angry
294	happy
295	neutral
296	fear
297	neutral
298	neutral
299	neutral
300	angry
301	sad
302	neutral
303	neutral
304	neutral
305	neutral
306	neutral
307	neutral
308	sad
309	sad
310	neutral
311	neutral
312	fear
313	sad
314	sad
315	sad
316	neutral
317	sad
318	sad
319	fear
320	neutral
321	neutral
322	fear
323	neutral
324	sad
325	neutral
326	happy
327	happy
328	happy
329	neutral
330	neutral
331	neutral
332	neutral
333	neutral
334	neutral
335	neutral
336	neutral
337	neutral
338	neutral
339	neutral
340	neutral
341	neutral
342	neutral
343	neutral
344	neutral
345	neutral
346	fear
347	sad
348	sad
349	sad
350	sad
351	sad
352	neutral
353	neutral
354	neutral
355	neutral
356	neutral
357	neutral
358	fear
359	fear
360	sad
361	neutral
362	fear
363	sad
364	sad
365	neutral
366	angry
367	happy
368	sad
369	neutral
370	neutral
371	neutral
372	neutral
373	neutral
374	sad
375	neutral
376	neutral
377	neutral
378	sad
379	neutral
380	sad
381	neutral
382	neutral
383	sad
384	neutral
385	sad
386	neutral
387	neutral
388	neutral
389	neutral
390	neutral
391	neutral
392	neutral
393	angry
394	surprise
395	angry
396	happy
397	neutral
398	happy
399	happy
400	happy
401	sad
402	sad
403	neutral
404	neutral
405	neutral
406	neutral
407	neutral
408	neutral
409	neutral
410	neutral
411	sad
412	sad
413	neutral
414	neutral
415	sad
416	neutral
417	neutral
418	sad
419	neutral
420	sad
421	sad
422	neutral
423	sad
424	sad
425	neutral
426	neutral
427	neutral
428	neutral
429	neutral
430	fear
431	neutral
432	sad
433	fear
434	fear
435	happy
436	happy
437	sad
438	neutral
439	sad
440	neutral
441	neutral
442	neutral
443	fear
444	sad
445	neutral
446	fear
447	sad
448	sad
449	fear
450	sad
451	neutral
452	sad
453	neutral
454	fear
455	angry
456	neutral
457	neutral
458	sad
459	neutral
460	neutral
461	sad
462	sad
463	sad
464	neutral
465	sad
